περιφέρεια;νομός;δήμος;latitude;longitude;station_of_reference
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΛΑΣΙΘΙΟΥ;ΙΕΡΑΠΕΤΡΑΣ;35.075678800000006;25.83882980527476;aghiosnikolaos
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΛΑΣΙΘΙΟΥ;ΣΗΤΕΙΑΣ;35.156218100000004;26.081481599770715;aghiosnikolaos
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΡΚΥΡΑΣ;ΚΕΡΚΥΡΑΣ;39.648356199999995;19.851130577653635;kerkyra
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΛΕΥΚΑΔΟΣ;ΛΕΥΚΑΔΟΣ;38.72041277275503;20.642527164290424;lefkada
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΦΑΛΛΟΝΙΑΣ;ΚΕΦΑΛΛΟΝΙΑΣ;38.166680994863356;20.599922975900284;ithaki
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΦΑΛΛΟΝΙΑΣ;ΙΘΑΚΗΣ;38.401896050000005;20.670092887359495;ithaki
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΖΑΚΥΝΘΟΥ;ΖΑΚΥΝΘΟΥ;37.789138449999996;20.790089567090195;pirgos
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΚΑΙΣΑΡΙΑΝΗΣ;37.95982085;23.797620339808432;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΒΥΡΩΝΟΣ;37.9367664;23.6355619;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ;37.99119735;23.805235200637995;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΓΛΥΦΑΔΑΣ;37.8838635;23.769113975990614;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ;38.04002425;23.72967475886549;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΦΥΛΗΣ;38.1274839;23.673354144760843;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΕΛΕΥΣΙΝΑΣ;38.0801043;23.53615597455889;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ;37.96846455;23.945276723591576;athens
ΠΕΡΙΦΈΡΕΙΑ ΚΕΝΤΡΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ;ΘΕΣΣΑΛΟΝΙΚΗΣ;ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ;40.6561464;22.905154080539447;thessaloniki
ΠΕΡΙΦΈΡΕΙΑ ΚΕΝΤΡΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ;ΘΕΣΣΑΛΟΝΙΚΗΣ;ΚΑΛΑΜΑΡΙΑΣ;40.579875;22.9528551;thessaloniki
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΣΠΕΤΣΩΝ;37.25869575;23.139719118006756;argos
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΚΥΚΛΑΔΩΝ;ΣΙΚΙΝΟΥ;36.6755874;25.116311058395272;paros
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΔΩΔΕΚΑΝΗΣΩΝ;ΤΗΛΟΥ;36.42930045;27.316339433417117;lindos
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΔΩΔΕΚΑΝΗΣΩΝ;ΚΑΛΥΜΝΙΩΝ;37.00262545;26.992424179156217;samos
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΡΚΥΡΑΣ;ΠΑΞΩΝ;39.2092883;20.16167755355726;igoumenitsa
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ;37.89799565;23.740731051162953;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΓΑΛΑΤΣΙΟΥ;38.01943985;23.755538673479386;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΠΕΡΙΣΤΕΡΙΟΥ;38.0156425;23.691249305584268;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΠΕΤΡΟΥΠΟΛΕΩΣ;38.0295167;23.6981469;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΧΑΪΔΑΡΙΟΥ;38.01308005;23.633849755033694;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΚΟΡΥΔΑΛΛΟΥ;37.9871437;23.645137563443267;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΠΕΡΑΜΑΤΟΣ;37.973373699999996;23.5770856829482;athens
ΠΕΡΙΦΈΡΕΙΑ ΗΠΕΊΡΟΥ;ΙΩΑΝΝΙΝΩΝ;ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ;39.538995650000004;21.037014439264055;ioannina
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΚΥΚΛΑΔΩΝ;ΣΙΦΝΟΥ;36.9714014;24.708110417765855;paros
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΚΥΚΛΑΔΩΝ;ΚΙΜΩΛΟΥ;36.80925795;24.556067684605413;paros
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΔΩΔΕΚΑΝΗΣΩΝ;ΝΙΣΥΡΟΥ;36.58904575;27.169184022557516;lindos
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΔΩΔΕΚΑΝΗΣΩΝ;ΑΓΑΘΟΝΗΣΙΟΥ;37.460456199999996;26.967667535828976;samos
ΠΕΡΙΦΈΡΕΙΑ ΒΌΡΕΙΟΥ ΑΙΓΑΊΟΥ;ΧΙΟΥ;ΟΙΝΟΥΣΣΩΝ;38.523570649999996;26.22740723319727;samos
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΧΑΝΙΩΝ;ΓΑΥΔΟΥ;34.836659499999996;24.083214861544448;rethymno
ΠΕΡΙΦΈΡΕΙΑ ΒΌΡΕΙΟΥ ΑΙΓΑΊΟΥ;ΧΙΟΥ;ΨΑΡΩΝ;38.57073855;25.585502338710924;tinos
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΚΥΚΛΑΔΩΝ;ΦΟΛΕΓΑΝΔΡΟΥ;36.62980355;24.914387929675;paros
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΚΗΦΙΣΙΑΣ;38.0915732;23.821732323430016;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ;38.0158557;23.77376263836058;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΙΛΙΟΥ;38.03790645;23.70999210578826;athens
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΔΩΔΕΚΑΝΗΣΩΝ;ΜΕΓΙΣΤΗΣ;36.1485617;29.5897107;lindos
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΑΜΑΡΟΥΣΙΟΥ;38.04558780000001;23.80525965580539;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΑΙΓΑΛΕΩ;37.9915665;23.6818754;athens
ΠΕΡΙΦΈΡΕΙΑ ΘΕΣΣΑΛΊΑΣ;ΤΡΙΚΑΛΩΝ;ΜΕΤΕΩΡΩΝ;39.7225469;21.473930485508955;trikala
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΚΥΚΛΑΔΩΝ;ΑΝΤΙΠΑΡΟΥ;36.963183799999996;25.002849842974925;paros
ΠΕΡΙΦΈΡΕΙΑ ΣΤΕΡΕΆΣ ΕΛΛΆΔΟΣ;ΦΘΙΩΤΙΔΑΣ;ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ;38.76620105;22.70981170657717;amfiklia
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΔΩΔΕΚΑΝΗΣΩΝ;ΠΑΤΜΟΥ;37.386772500000006;26.73410616959459;samos
ΠΕΡΙΦΈΡΕΙΑ ΒΌΡΕΙΟΥ ΑΙΓΑΊΟΥ;ΛΕΣΒΟΥ;ΜΥΤΙΛΗΝΗΣ;39.1126302;26.37627960781561;lemnos
ΠΕΡΙΦΈΡΕΙΑ ΒΌΡΕΙΟΥ ΑΙΓΑΊΟΥ;ΛΕΣΒΟΥ;ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ;39.1974817;26.01361508624088;lemnos
ΠΕΡΙΦΈΡΕΙΑ ΒΌΡΕΙΟΥ ΑΙΓΑΊΟΥ;ΣΑΜΟΥ;ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ;37.723311100000004;26.921856315752006;samos
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΡΚΥΡΑΣ;ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ;39.757901000000004;19.795605255877323;kerkyra
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΡΚΥΡΑΣ;ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ & ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ;39.648356199999995;19.851130577653635;kerkyra
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΡΚΥΡΑΣ;ΝΟΤΙΑΣ ΚΕΡΚΥΡΑΣ;39.4507139;19.940101848592384;kerkyra
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΦΑΛΛΟΝΙΑΣ;ΑΡΓΟΣΤΟΛΙΟΥ;38.19293195;20.568787406227568;ithaki
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΦΑΛΛΟΝΙΑΣ;ΣΑΜΗΣ;38.30247545;20.55334777002602;ithaki
ΠΕΡΙΦΈΡΕΙΑ ΙΟΝΊΩΝ ΝΉΣΩΝ;ΚΕΦΑΛΛΟΝΙΑΣ;ΛΗΞΟΥΡΙΟΥ;38.25314245;20.39316400150559;ithaki
ΠΕΡΙΦΈΡΕΙΑ ΒΌΡΕΙΟΥ ΑΙΓΑΊΟΥ;ΣΑΜΟΥ;ΔΥΤΙΚΗΣ ΣΑΜΟΥ;37.744288;26.682509096860784;samos
ΠΕΡΙΦΈΡΕΙΑ ΝΟΤΊΟΥ ΑΙΓΑΊΟΥ;ΔΩΔΕΚΑΝΗΣΩΝ;ΚΑΣΟΥ;35.38722745;26.911798146897418;aghiosnikolaos
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ;37.974701249999995;23.67090882622055;athens
